age,job,marital,education,default,balance,housing,loan,contact,month,duration,campaign,pdays,previous,poutcome,y
24,admin.,single,secondary,no,-2245,no,no,cellular,nov,279,3,-1,7,unknown,0
78,technician,married,secondary,no,4544,no,yes,cellular,nov,362,10,29,3,unknown,1
69,blue-collar,married,tertiary,no,3428,no,no,telephone,feb,248,1,-1,2,unknown,1
52,blue-collar,single,primary,no,1971,no,no,telephone,may,0,4,-1,0,unknown,1
51,services,married,primary,no,1565,no,no,telephone,dec,167,2,-1,8,unknown,1
84,technician,single,secondary,no,4237,yes,no,cellular,jan,0,14,-1,0,unknown,1
24,unemployed,married,tertiary,no,3865,no,no,cellular,jan,312,6,56,8,unknown,1
72,blue-collar,married,secondary,no,3748,no,no,telephone,jul,345,8,-1,3,unknown,1
33,management,married,tertiary,no,2205,yes,no,telephone,dec,352,12,35,0,unknown,1
25,technician,single,secondary,no,432,no,no,telephone,apr,288,14,54,9,failure,1
59,management,married,secondary,no,2888,no,no,telephone,oct,356,14,-1,7,unknown,1
94,services,divorced,secondary,yes,2995,yes,no,telephone,sep,0,3,-1,7,unknown,1
75,technician,single,secondary,no,781,no,no,cellular,feb,205,6,-1,5,unknown,0
77,housemaid,single,tertiary,no,427,no,no,cellular,apr,22,6,-1,7,success,0
73,blue-collar,married,primary,no,3693,yes,yes,telephone,aug,170,12,48,1,success,1
79,blue-collar,single,secondary,yes,4861,no,no,cellular,jun,446,5,-1,2,unknown,1
58,management,divorced,secondary,no,-449,no,yes,cellular,mar,373,4,34,5,unknown,0
27,student,married,secondary,no,621,no,no,cellular,mar,313,11,-1,7,success,1
83,admin.,married,secondary,no,1972,no,no,cellular,jul,195,7,-1,5,unknown,1
53,technician,married,secondary,no,2271,yes,no,telephone,oct,81,11,-1,4,unknown,1
57,entrepreneur,married,tertiary,yes,51,no,no,telephone,may,246,6,-1,6,unknown,0
46,management,single,tertiary,yes,5344,no,no,cellular,dec,375,7,-1,0,unknown,1
32,unknown,married,tertiary,no,2129,no,no,cellular,sep,277,1,-1,5,unknown,1
90,services,married,secondary,no,2369,yes,no,cellular,may,0,1,-1,3,unknown,1
78,management,married,secondary,no,5070,no,no,telephone,sep,235,1,51,4,unknown,1
68,blue-collar,married,secondary,no,212,yes,no,cellular,jun,0,3,-1,1,unknown,0
49,housemaid,married,secondary,no,1005,no,no,cellular,oct,333,5,-1,9,unknown,1
82,blue-collar,single,secondary,no,-1557,yes,no,cellular,dec,123,1,-1,8,unknown,0
60,management,single,secondary,no,821,no,yes,cellular,oct,49,3,-1,9,unknown,0
52,technician,married,primary,no,-2076,no,no,cellular,feb,335,12,-1,8,unknown,0
53,services,single,primary,no,2845,yes,no,telephone,jan,298,12,-1,6,failure,1
35,management,married,tertiary,no,2124,no,no,cellular,oct,253,5,-1,2,unknown,1
25,technician,married,primary,no,590,yes,yes,cellular,nov,527,14,-1,1,unknown,0
61,unemployed,married,secondary,no,979,yes,no,cellular,jul,309,2,-1,6,failure,1
87,technician,divorced,secondary,no,2875,yes,no,cellular,mar,130,1,-1,9,unknown,1
22,services,single,primary,no,-1299,no,no,cellular,nov,293,5,-1,3,unknown,0
84,blue-collar,single,tertiary,no,1649,yes,no,telephone,jun,180,4,-1,9,unknown,1
82,technician,married,primary,no,2739,no,no,cellular,apr,397,2,4,1,failure,1
39,technician,married,tertiary,no,-2721,yes,no,telephone,may,259,12,-1,2,unknown,0
67,blue-collar,single,tertiary,no,2707,yes,no,cellular,apr,273,14,-1,6,unknown,1
30,admin.,married,secondary,no,-2483,yes,no,telephone,apr,18,4,-1,4,unknown,0
77,management,divorced,primary,no,941,yes,yes,cellular,apr,229,5,-1,7,success,0
72,management,single,secondary,no,-1359,yes,no,cellular,sep,212,11,45,3,failure,0
45,management,married,secondary,no,4349,yes,no,cellular,jan,77,14,22,7,unknown,1
23,admin.,single,secondary,yes,-1346,no,no,cellular,may,189,5,0,3,unknown,0
93,blue-collar,divorced,unknown,yes,-2430,yes,no,cellular,mar,281,10,-1,1,unknown,0
52,blue-collar,married,secondary,no,1493,no,no,telephone,aug,219,1,-1,5,unknown,1
87,retired,single,tertiary,no,290,no,no,cellular,dec,22,8,-1,5,unknown,0
70,entrepreneur,divorced,primary,no,-2110,yes,no,telephone,oct,182,14,17,5,success,0
78,blue-collar,married,unknown,no,2357,no,no,telephone,mar,154,7,-1,0,unknown,1
77,management,divorced,secondary,yes,-3181,yes,no,cellular,jul,247,9,-1,4,success,0
33,blue-collar,married,secondary,no,-1080,no,no,telephone,jan,232,10,-1,0,unknown,0
46,blue-collar,single,secondary,no,-65,no,no,cellular,may,162,9,0,8,failure,0
54,blue-collar,single,primary,no,2965,yes,no,cellular,apr,157,10,-1,0,unknown,1
56,blue-collar,single,tertiary,no,4050,no,no,cellular,jul,229,13,-1,9,unknown,1
21,management,married,secondary,no,3626,yes,no,telephone,may,355,1,41,0,failure,1
60,unemployed,single,secondary,no,863,yes,no,cellular,sep,259,13,-1,6,unknown,0
30,blue-collar,married,secondary,no,-4140,yes,no,cellular,jul,419,13,52,3,failure,0
75,services,married,secondary,no,2060,no,no,cellular,dec,379,13,-1,1,unknown,1
71,management,married,primary,no,4435,yes,yes,cellular,jan,430,6,47,3,other,1
89,housemaid,married,primary,no,3914,yes,no,cellular,dec,412,9,39,0,failure,1
76,services,married,primary,no,2218,no,no,cellular,oct,439,5,-1,6,unknown,1
46,blue-collar,married,secondary,no,-1417,no,no,telephone,sep,59,12,12,8,unknown,0
93,services,divorced,primary,no,44,no,no,cellular,oct,311,6,-1,3,unknown,0
