age,income_usd,wealth_usd,risk_score,horizon_years,debt_to_income,market_vol,invest_risky
25,74571,181387,-0.752,17,0.296,0.169,1
59,71577,460964,0.158,22,0.28,0.05,1
53,132197,416080,0.226,20,0.555,0.113,1
42,135553,151048,-1.272,26,0.469,0.162,1
42,68873,18312,-0.873,1,0.154,0.074,1
63,73569,55448,-0.811,12,0.107,0.238,1
25,117963,298162,-0.181,22,0.419,0.191,1
55,59502,37167,1.985,5,0.157,0.221,1
31,73299,111789,-0.933,14,0.145,0.118,1
25,94123,203419,-0.977,13,0.246,0.205,0
47,148084,562983,-1.133,25,0.466,0.14,1
69,66521,89400,0.636,29,0.264,0.168,1
57,35824,84057,-0.041,4,0.268,0.201,1
59,34519,143084,-0.896,7,0.477,0.176,1
56,47947,205708,-0.363,24,0.403,0.229,1
60,46676,130557,-0.792,6,0.287,0.188,1
46,83305,385668,0.296,15,0.156,0.152,1
27,49668,73069,2.5,29,0.073,0.231,1
62,63335,167131,0.551,30,0.345,0.243,1
43,61116,223928,-0.093,29,0.147,0.185,1
46,72208,104630,-0.665,5,0.301,0.26,1
39,174349,319378,-1.343,5,0.435,0.166,0
30,125309,171520,0.734,6,0.184,0.172,1
67,90729,305087,0.679,24,0.56,0.18,1
60,71471,178632,-0.466,6,0.278,0.172,1
53,72471,210482,1.213,13,0.517,0.161,1
41,106026,84901,0.021,25,0.391,0.137,0
62,120529,85025,0.775,15,0.461,0.12,1
48,57168,451508,0.296,29,0.275,0.187,1
43,91657,265760,-0.177,15,0.679,0.252,1
43,32590,59738,-0.955,12,0.542,0.229,1
32,100050,176516,-0.146,30,0.649,0.203,1
25,131747,17712,0.842,17,0.513,0.255,1
48,78240,89487,-0.508,6,0.112,0.181,0
65,223201,356224,0.44,20,0.438,0.121,1
24,57927,134022,-1.083,24,0.182,0.159,1
63,100337,166794,0.78,26,0.171,0.176,1
62,88402,9933,0.313,1,0.366,0.149,1
34,85598,105384,-1.202,4,0.259,0.217,1
52,85000,203381,-0.224,19,0.165,0.236,1
29,94951,228012,0.931,23,0.066,0.076,1
58,137523,356650,-1.259,20,0.214,0.171,1
56,179231,124139,-1.071,12,0.448,0.05,1
38,89899,129224,-0.069,23,0.036,0.175,1
24,135296,45229,2.133,18,0.105,0.174,1
69,63366,124782,-0.673,28,0.224,0.287,1
43,131998,48193,0.495,12,0.378,0.269,1
65,61486,28433,0.26,23,0.307,0.236,1
54,155266,56485,-0.59,5,0.151,0.122,1
59,271817,583154,0.161,22,0.126,0.119,1
58,84671,117581,-0.448,22,0.234,0.114,1
30,30070,182824,-0.358,8,0.454,0.272,1
39,68427,94489,-1.661,2,0.337,0.125,1
44,166625,29938,-0.024,30,0.461,0.157,1
45,118670,348325,0.899,3,0.544,0.126,1
23,101928,21235,0.057,15,0.569,0.105,1
48,149029,91042,1.091,1,0.247,0.2,1
28,114667,142805,0.58,13,0.282,0.189,1
58,165451,184579,-0.06,25,0.374,0.05,1
55,142526,78008,-0.628,16,0.2,0.102,1
67,192609,28688,-0.486,8,0.513,0.195,1
58,107685,72941,-1.471,12,0.521,0.176,0
39,141520,76459,-0.267,3,0.496,0.156,1
69,77188,74802,0.146,18,0.274,0.216,1
41,66625,359131,1.715,1,0.611,0.093,1
37,211282,50320,0.528,11,0.322,0.144,1
66,100275,196668,-0.865,2,0.069,0.211,1
39,134592,172967,-1.439,8,0.451,0.141,0
24,95744,356041,-0.207,3,0.487,0.199,1
44,67125,133062,0.812,28,0.109,0.111,1
60,90496,305715,-0.221,24,0.104,0.131,1
30,184529,128463,0.542,28,0.179,0.073,1
44,118799,221758,-0.181,21,0.315,0.057,1
27,38247,38783,0.717,15,0.229,0.151,1
55,80817,13960,-1.597,6,0.21,0.207,1
44,219413,210698,1.604,29,0.298,0.173,1
37,80876,221119,-1.112,28,0.104,0.25,1
32,36583,230117,0.794,13,0.13,0.156,1
49,231906,93522,-0.272,7,0.052,0.053,1
54,126597,573286,-0.116,12,0.386,0.201,1
68,86904,99161,-0.241,12,0.184,0.115,1
42,74746,219078,0.256,28,0.511,0.188,1
29,154622,256161,0.458,3,0.481,0.05,1
62,68636,704509,1.058,19,0.409,0.163,1
52,159802,112765,1.408,24,0.393,0.222,1
56,118026,83326,0.332,23,0.154,0.215,1
25,101713,38951,1.714,6,0.374,0.165,1
36,96792,606537,0.093,13,0.373,0.177,1
59,82461,219183,1.077,11,0.195,0.15,1
62,151810,225516,0.429,13,0.186,0.162,1
42,58390,2479145,-0.549,3,0.657,0.218,1
61,39999,200974,0.181,3,0.394,0.135,1
63,122368,46458,0.503,1,0.18,0.141,1
40,123400,125753,-0.032,30,0.248,0.085,1
65,114426,62385,0.413,13,0.099,0.219,1
35,110352,105041,0.865,7,0.076,0.161,1
32,76672,104408,-0.023,24,0.294,0.104,1
55,133427,88439,-2.5,15,0.092,0.229,1
52,87973,42806,1.678,11,0.206,0.174,1
27,70545,628846,-0.298,4,0.199,0.132,1
62,77005,196291,-0.823,12,0.223,0.23,1
30,247183,122451,-1.124,20,0.075,0.156,1
61,37800,296637,-0.336,19,0.207,0.083,1
21,115550,229200,-0.563,12,0.502,0.234,1
60,38871,192242,-0.737,19,0.371,0.126,1
60,85259,277864,-0.682,24,0.246,0.358,0
60,72457,169216,0.53,28,0.249,0.15,1
54,31731,274194,2.03,16,0.046,0.056,1
44,109325,295431,0.821,7,0.26,0.282,1
56,74425,173657,1.123,4,0.215,0.173,1
34,31507,123012,-0.377,5,0.146,0.192,1
60,136947,594662,0.105,1,0.22,0.2,1
48,184438,97565,0.426,17,0.387,0.095,1
43,189592,213325,-0.66,7,0.349,0.05,1
46,107693,217708,-0.426,7,0.088,0.294,1
49,92097,86664,0.855,22,0.254,0.083,1
22,174843,72501,1.09,10,0.398,0.275,1
27,208722,109089,0.067,25,0.611,0.208,1
33,158633,96317,-1.195,5,0.196,0.187,1
26,56207,40379,-0.296,11,0.328,0.149,1
42,99532,83454,-1.441,2,0.085,0.315,0
54,112120,190611,0.075,17,0.335,0.135,1
53,36416,468710,0.255,4,0.438,0.137,1
44,113805,247049,-0.271,8,0.434,0.217,1
63,280425,14455,0.242,23,0.411,0.136,1
49,123938,267150,0.417,27,0.257,0.116,1
24,188014,90767,0.257,17,0.251,0.173,1
59,98619,225520,-1.202,29,0.303,0.218,1
49,86765,148104,-0.253,23,0.433,0.29,1
52,108902,126118,0.41,23,0.349,0.302,1
49,59853,136814,1.579,30,0.597,0.069,1
48,55585,147003,-0.272,3,0.477,0.239,1
25,169518,503005,0.551,7,0.367,0.118,1
48,178749,147369,0.878,14,0.474,0.121,1
60,54831,398464,-0.197,19,0.108,0.144,1
36,146030,349516,1.148,30,0.442,0.141,1
51,86171,273411,1.202,3,0.312,0.113,1
22,106667,30044,1.38,7,0.533,0.05,1
