Date,Ticker,Open,High,Low,Close,Volume
2023-01-03,SBER,149.9,150.78,148.07,150.0,7904346
2023-01-03,GAZP,171.34,172.39,169.36,170.0,11655398
2023-01-03,LKOH,4788.82,4809.29,4715.52,4800.0,3751030
2023-01-03,YNDX,2188.86,2205.53,2172.96,2200.0,4385648
2023-01-03,ROSN,399.55,400.22,394.99,400.0,6768625
2023-01-04,SBER,149.48,150.8,148.76,150.34,7680176
2023-01-04,GAZP,169.32,169.34,166.35,167.77,13406798
2023-01-04,LKOH,4718.94,4792.92,4663.93,4714.02,9805270
2023-01-04,YNDX,2243.64,2245.71,2236.32,2241.72,4242821
2023-01-04,ROSN,393.41,397.66,392.33,394.32,3680208
2023-01-05,SBER,150.97,152.08,150.23,151.26,14879571
2023-01-05,GAZP,170.51,171.65,170.05,171.22,14472669
2023-01-05,LKOH,4677.68,4723.46,4632.91,4682.02,13339804
2023-01-05,YNDX,2318.01,2337.46,2311.31,2318.85,6436143
2023-01-05,ROSN,400.3,400.42,392.28,397.25,2397956
2023-01-06,SBER,153.61,153.98,153.43,153.54,3289399
2023-01-06,GAZP,170.71,172.73,169.7,170.41,5931295
2023-01-06,LKOH,4669.93,4682.21,4628.95,4648.65,11485934
2023-01-06,YNDX,2336.9,2350.03,2319.54,2325.64,7304096
2023-01-06,ROSN,386.27,387.08,385.69,385.7,7902632
2023-01-09,SBER,149.36,150.08,148.4,149.67,8197642
2023-01-09,GAZP,173.56,173.81,171.59,171.94,8561423
2023-01-09,LKOH,4516.12,4518.89,4427.12,4516.71,8071254
2023-01-09,YNDX,2343.93,2366.25,2322.5,2344.34,12941716
2023-01-09,ROSN,390.1,396.28,385.72,391.88,11916428
2023-01-10,SBER,154.85,156.32,154.72,155.62,6908493
2023-01-10,GAZP,166.15,167.56,165.46,166.09,5611271
2023-01-10,LKOH,4605.42,4635.44,4575.45,4623.53,4802119
2023-01-10,YNDX,2374.26,2404.79,2355.36,2358.84,10119161
2023-01-10,ROSN,395.62,402.29,393.97,398.09,10308633
2023-01-11,SBER,156.64,157.49,156.08,156.37,10288488
2023-01-11,GAZP,165.02,165.65,161.94,163.5,12339015
2023-01-11,LKOH,4575.72,4618.13,4527.86,4557.78,14384877
2023-01-11,YNDX,2394.16,2430.49,2379.68,2384.36,6095930
2023-01-11,ROSN,389.49,391.33,388.43,391.09,10204561
2023-01-12,SBER,158.76,160.6,158.41,158.75,34624932
2023-01-12,GAZP,165.06,167.19,164.42,165.77,7946710
2023-01-12,LKOH,4619.32,4622.01,4577.2,4608.42,4166456
2023-01-12,YNDX,2369.04,2373.09,2335.43,2358.94,9689859
2023-01-12,ROSN,392.44,394.67,392.26,394.18,5017863
2023-01-13,SBER,160.27,161.66,158.47,159.82,4462257
2023-01-13,GAZP,162.78,163.45,161.7,162.37,60998860
2023-01-13,LKOH,4676.13,4711.82,4625.5,4649.73,7590176
2023-01-13,YNDX,2395.59,2409.43,2386.28,2404.88,9257430
2023-01-13,ROSN,408.66,414.77,403.38,412.51,7018317
